customer_id,risk_rating,kyc_last_refresh_date,account_open_date,pep_flag,country_of_origin,entity_type,introducer_code,beneficial_owner_disclosed,dormant_flag,pep_relationship_type,occupation,monthly_txn_volume_lkr,source_of_funds
BNK-CUST-17362,low,2025-10-19,2018-07-16,false,LK,individual,INT-BR10-015,true,false,,Baker,450000,Bakery business
BNK-CUST-47627,low,2026-02-07,2021-01-13,false,LK,individual,INT-BR20-020,true,true,,Welder,300000,Self-employed
BNK-CUST-84928,high,2026-02-15,2020-02-16,false,LK,individual,INT-BR11-020,true,false,,Property dealer,55000000,Cash-intensive property
BNK-CUST-23566,low,2026-02-05,2020-02-13,false,LK,individual,DIRECT,true,false,,Librarian,420000,Salary
BNK-CUST-78690,medium,2025-07-27,2020-03-30,false,LK,individual,DIRECT,true,true,,Retired banker,1200000,Pension + investments
BNK-CUST-98984,medium,2025-08-11,2021-05-18,false,LK,individual,DIRECT,true,false,,Restaurant owner,6800000,Cash-intensive dining
BNK-CUST-98916,medium,2026-01-19,2018-11-30,false,LK,individual,DIRECT,true,false,,Plumber,380000,Self-employed
BNK-CUST-96980,low,2026-01-26,2018-08-21,false,LK,individual,DIRECT,true,false,,Factory worker,310000,Salary
BNK-CUST-59372,high,2025-10-01,2018-11-26,false,LK,individual,DIRECT,true,true,,Gold dealer,92000000,Cash-intensive bullion
BNK-CUST-12389,low,2025-06-21,2021-02-10,false,LK,individual,DIRECT,true,true,,Farmer,280000,Agricultural income
